rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
5221,24-7 fitness pärnu,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,oü triple invest,10250206,osaühing,24-7fitnessklubi oü,14045006,58.38745996,24.50445898,pärnumaa,68,pärnu,pärnu linn,6619,235,10849,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2021.0,2021.0,150.0,0.15666666666666668,0.08710801393728224,0.9705882352941176,0.975,1.0,0.5971642242262759
5585,24-7fitness avala,0,"võimla, spordihall, spordisaal",kinnisasi,aktsiaselts,aktsiaselts kaamos kinnisvara,10886401,osaühing,24-7fitnessklubi oü,14045006,59.41852012,24.75666923,harjumaa,37,tallinn,kesklinna linnaosa,298,185,11527,aeroobikasaal,väga hea,"aeroobika ja rühmatreeningud, harrastusvõimlemine",2022.0,2022.0,100.0,0.12333333333333334,0.05807200929152149,0.9803921568627451,0.9833333333333333,1.0,0.5871094828175173
4910,24-7fitness kuressaare,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,oü tulik invest,11449200,osaühing,24-7fitnessklubi oü,14045006,58.24688992,22.45862315,saaremaa,74,saaremaa,kuressaare linn,3655,128,10320,24-7fitness kuressaare jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2020.0,2020.0,70.0,0.08533333333333333,0.04065040650406504,0.9607843137254902,0.9666666666666667,1.0,0.5720442850310856
4890,24-7fitness laki,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,laki põik 4 oü,12943304,osaühing,24-7fitnessklubi oü,14045006,59.41122482,24.67172121,harjumaa,37,tallinn,mustamäe linnaosa,482,200,10315,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2016.0,2016.0,40.0,0.13333333333333333,0.023228803716608595,0.9215686274509803,0.9333333333333333,1.0,0.5799849695975952
6072,24-7fitness luige,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,luige ärikeskus oü,16335062,osaühing,24-7fitnessklubi oü,14045006,59.3253007,24.76668299,harjumaa,37,kiili,luige alevik,4549,148,12348,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2024.0,2024.0,120.0,0.09866666666666667,0.06968641114982578,1.0,1.0,1.0,0.5830843205574914
4892,24-7fitness mustamäe tee,0,"võimla, spordihall, spordisaal",kinnisasi,aktsiaselts,aktsiaselts eesti talleks,10280727,osaühing,24-7fitnessklubi oü,14045006,59.428458,24.702018,harjumaa,37,tallinn,kristiine linnaosa,339,220,10288,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport, aeroobika ja rühmatreeningud",2018.0,2018.0,40.0,0.14666666666666667,0.023228803716608595,0.9411764705882353,0.95,1.0,0.586779087244654
6071,24-7fitness paepargi,0,"võimla, spordihall, spordisaal",hoonestusõigus,osaühing,oü paepargi 11,12293119,osaühing,24-7fitnessklubi oü,14045006,59.42998698,24.80091968,harjumaa,37,tallinn,lasnamäe linnaosa,387,148,12347,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2024.0,2024.0,40.0,0.09866666666666667,0.023228803716608595,1.0,1.0,1.0,0.5807614401858305
4894,24-7fitness peetri,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,peetri kogukonnakeskus oü,16272730,osaühing,24-7fitnessklubi oü,14045006,59.39766342,24.8054392,harjumaa,37,rae,peetri alevik,6086,186,10308,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2019.0,2019.0,70.0,0.124,0.04065040650406504,0.9509803921568627,0.9583333333333334,1.0,0.5822472262075562
4895,24-7fitness priisle,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,priisle äripark oü,16063126,osaühing,24-7fitnessklubi oü,14045006,59.450887,24.89395775,harjumaa,37,tallinn,lasnamäe linnaosa,387,190,10307,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport, aeroobika ja rühmatreeningud",2017.0,2017.0,40.0,0.12666666666666668,0.023228803716608595,0.9313725490196079,0.9416666666666667,1.0,0.5793820284211246
4896,24-7fitness rakvere,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,oü kroonikeskus,10691092,osaühing,24-7fitnessklubi oü,14045006,59.34873146,26.36402502,lääne-virumaa,60,rakvere linn,0,0,126,10306,24-7fitness rakvere jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2019.0,2019.0,70.0,0.084,0.04065040650406504,0.9509803921568627,0.9583333333333334,1.0,0.5702472262075562
6074,24-7fitness tabasalu,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,tabasalu keskus oü,14377122,osaühing,24-7fitnessklubi oü,14045006,59.42898528,24.5499587,harjumaa,37,harku,tabasalu alevik,8009,178,12350,jõusaal,väga hea,"jõutõstmine, kulturism ja fitness, tõstesport",2022.0,2022.0,210.0,0.11866666666666667,0.12195121951219512,0.9803921568627451,0.9833333333333333,1.0,0.5889034433285509
