rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
3145,a. le coq arena i ja ii muruväljak,lilleküla jalgpallistaadion,välispalliväljak,hoonestusõigus,aktsiaselts,as lilleküla jalgpallistaadion,10864457,mittetulundusühing,eesti jalgpalli liit,80091598,59.419445,24.733486,harjumaa,37,tallinn,kesklinna linnaosa,298,284,6813,a. le coq arena i ja ii muruväljak,väga hea,jalgpall,0.0,2005.0,454.0
3152,a. le coq arena miniväljak,lilleküla jalgpallistaadion,välispalliväljak,hoonestusõigus,aktsiaselts,as lilleküla jalgpallistaadion,10864457,mittetulundusühing,eesti jalgpalli liit,80091598,59.421522,24.733744,harjumaa,37,tallinn,kesklinna linnaosa,298,138,6838,a. le coq arena miniväljak,hea,"jalgpall, korvpall",2018.0,2001.0,454.0
2601,abja spordi- ja tervisekeskuse staadion,abja spordi- ja tervisekeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,mulgi vallavalitsus,77000453,kohaliku omavalitsuse üksus,abja spordi- ja tervisekeskus,75038842,58.126463,25.367131,viljandimaa,84,mulgi,abja-paluoja linn,1060,20,4869,staadion,väga hea,"jalgpall, kergejõustik",2020.0,1968.0,20.0
1384,aeg sk spordisaalid,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,effort capital oü,12188411,mittetulundusühing,spordiklubi aeg,80079205,59.39685405,24.69168583,harjumaa,37,tallinn,mustamäe linnaosa,482,162,7835,spordisaal,rahuldav,"korvpall, võrkpall, sulgpall, saalijalgpall, saalihoki",2007.0,1980.0,15.0
349,aegviidu spordihoone spordiväljakud,aegviidu spordihoone,"muu spordiplats, välispalliväljak",hoonestusõigus,sihtasutus,sihtasutus anija valla spordimaailm,90013294,sihtasutus,sihtasutus anija valla spordimaailm,90013294,59.28806031,25.60808897,harjumaa,37,anija,aegviidu alev,1086,0,454,jalgpalliväljak,rahuldav,jalgpall,2022.0,1920.0,10.0
93,ahja staadion,ahja spordihoone,staadion,kinnisasi,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,kohaliku omavalitsuse üksus,friedebert tuglase nimeline ahja kool,75023024,58.209849,27.069572,põlvamaa,64,põlva,ahja alevik,1116,0,2191,staadion ,rahuldav,"jalgpall, kergejõustik",2020.0,1978.0,50.0
1847,aidu jalgpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,põltsamaa vallavalitsus,77000358,kohaliku omavalitsuse üksus,põltsamaa ühisgümnaasium,75003128,58.7322272,26.21268663,jõgevamaa,50,põltsamaa,vägari küla,9612,0,3933,jalgpalliväljak,rahuldav,jalgpall,0.0,2002.0,20.0
1428,alatskivi kooli staadion,alatskivi kool,staadion,kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,kohaliku omavalitsuse üksus,juhan liivi nim alatskivi kool,75006243,58.598526,27.137132,tartumaa,79,peipsiääre,alatskivi alevik,1181,0,5856,staadion,väga hea,"jalgpall, kergejõustik",2021.0,1969.0,20.0
4248,alatskivi multifunktsionaalne liivaväljak,alatskivi kool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,kohaliku omavalitsuse üksus,juhan liivi nim alatskivi kool,75006243,58.598526,27.137132,tartumaa,79,peipsiääre,alatskivi alevik,1181,0,9086,multifunktsionaalne palliväljak,hea,"rannavõrkpall, indiaca, käsipall, rannajalgpall",2021.0,2014.0,20.0
367,alavere põhikooli spordisaal,alavere põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,anija vallavalitsus,75018816,kohaliku omavalitsuse üksus,alavere põhikool,75024722,59.246408,25.326903,harjumaa,37,anija,alavere küla,1184,20,1285,alavere põhikooli spordisaal,hea,"korvpall, saalijalgpall, sulgpall, võrkpall, maadlus",2014.0,1988.0,10.0
369,alavere põhikooli staadion ja palliväljakud,alavere põhikool,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,anija vallavalitsus,75018816,kohaliku omavalitsuse üksus,alavere põhikool,75024722,59.246449,25.325721,harjumaa,37,anija,alavere küla,1184,0,2503,jalgpalliväljak,rahuldav,jalgpall,2005.0,1989.0,0.0
2651,alu jalgpalliväljak,alu spordihoone,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,kohaliku omavalitsuse üksus,alu kool,75026572,59.022105,24.760823,raplamaa,71,rapla,alu alevik,1230,50,5037,alu jalgpalliväljak,rahuldav,jalgpall,0.0,1982.0,25.0
1390,ambla staadion ja multifunktsionaalne palliväljak,0,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,59.192155,25.844457,järvamaa,52,järva,ambla alevik,1250,20,1602,ambla staadion,rahuldav,"kergejõustik, jalgpall",0.0,1996.0,20.0
40,anna haava nim pala kooli staadion ja palliväljakud,anna haava nim pala kool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,kohaliku omavalitsuse üksus,anna haava nimeline pala kool,75014787,58.671026,27.016883,tartumaa,79,peipsiääre,pala küla,5905,0,3912,staadion,hea,"jalgpall, kergejõustik",2016.0,1964.0,0.0
2395,annelinna kunstmuruväljak,0,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tartu linnavalitsus,75006546,kohaliku omavalitsuse üksus,tartu sport,77001004,58.3752389,26.77329987,tartumaa,79,tartu linn,tartu linn,8151,100,3340,kunstmuruväljak,hea,"kergejõustik, jalgpall",2016.0,2005.0,20.0
670,annikoru jalgpalliväljak,konguta kooli spordihoone ja annikoru puhkeala,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,elva vallavalitsus,77000170,kohaliku omavalitsuse üksus,elva vallavalitsus,77000170,58.264508,26.311548,tartumaa,79,elva,annikoru küla,1291,15,3700,jalgpalliväljak,hea,jalgpall,0.0,2000.0,20.0
1355,antsla gümnaasiumi staadion,antsla gümnaasium,staadion,kinnisasi,kohaliku omavalitsuse üksus,antsla vallavalitsus,75010418,kohaliku omavalitsuse üksus,antsla gümnaasium,75010476,57.826984,26.539439,võrumaa,87,antsla,antsla linn,1301,20,863,staadion ,rahuldav,"kergejõustik, jalgpall",1983.0,1969.0,30.0
1354,antsla gümnaasiumi võimla ja jõusaal,antsla gümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,antsla vallavalitsus,75010418,kohaliku omavalitsuse üksus,antsla gümnaasium,75010476,57.8320622,26.53149911,võrumaa,87,antsla,antsla linn,1301,40,1139,võimla,hea,"korvpall, saalijalgpall, aeroobika, võrkpall",2020.0,1978.0,20.0
3845,antsla multifunktsionaalne palliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,antsla vallavalitsus,75010418,kohaliku omavalitsuse üksus,antsla vallavalitsus,75010418,57.831069,26.529217,võrumaa,87,antsla,antsla linn,1301,0,8403,multifunktsionaalne palliväljak,väga hea,"korvpall, võrkpall, jalgpall",0.0,2017.0,0.0
1391,aravete staadion,aravete spordi- ja tervisekeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,59.14314444,25.75684722,järvamaa,52,järva,aravete alevik,1326,120,1629,staadion,rahuldav,"kergejõustik, jalgpall",2005.0,2004.0,30.0
161,ardu kooli spordisaalid,ardu kool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,ardu kool,75039273,59.10208078,25.3586649,harjumaa,37,kose,ardu alevik,1340,40,1220,võimla,rahuldav,"saalihoki, võrkpall, tennis, sulgpall, saalijalgpall, korvpall, käsipall",2005.0,1992.0,15.0
