rajatisid,rajatisnimi,kompleks,liik,omandiliik,ehstaatus,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad
5221,24-7 fitness Pärnu,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ Triple Invest,10250206,Osaühing,24-7FITNESSKLUBI OÜ,14045006,58.38745996,24.50445898,Pärnumaa,68,Pärnu,Pärnu linn,6619,235,10849,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
5585,24-7fitness Avala,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Aktsiaselts,Aktsiaselts Kaamos Kinnisvara,10886401,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.41852012,24.75666923,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,185,11527,Aeroobikasaal,Väga hea,"aeroobika ja rühmatreeningud, harrastusvõimlemine"
4910,24-7fitness Kuressaare,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ TULIK INVEST,11449200,Osaühing,24-7FITNESSKLUBI OÜ,14045006,58.24688992,22.45862315,Saaremaa,74,Saaremaa,Kuressaare linn,3655,128,10320,24-7fitness Kuressaare jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
4890,24-7fitness Laki,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Laki põik 4 OÜ,12943304,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.41122482,24.67172121,Harjumaa,37,Tallinn,Mustamäe linnaosa,482,200,10315,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
6072,24-7fitness Luige,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Luige Ärikeskus OÜ,16335062,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.3253007,24.76668299,Harjumaa,37,Kiili,Luige alevik,4549,148,12348,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
4892,24-7fitness Mustamäe tee,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Aktsiaselts,Aktsiaselts Eesti Talleks,10280727,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.428458,24.702018,Harjumaa,37,Tallinn,Kristiine linnaosa,339,220,10288,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport, aeroobika ja rühmatreeningud"
6071,24-7fitness Paepargi,,"Võimla, spordihall, spordisaal",Hoonestusõigus,Spordialases kasutuses,Osaühing,OÜ Paepargi 11,12293119,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.42998698,24.80091968,Harjumaa,37,Tallinn,Lasnamäe linnaosa,387,148,12347,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
4894,24-7fitness Peetri,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Peetri Kogukonnakeskus OÜ,16272730,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.39766342,24.8054392,Harjumaa,37,Rae,Peetri alevik,6086,186,10308,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
4895,24-7fitness Priisle,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Priisle Äripark OÜ,16063126,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.450887,24.89395775,Harjumaa,37,Tallinn,Lasnamäe linnaosa,387,190,10307,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport, aeroobika ja rühmatreeningud"
4896,24-7fitness Rakvere,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ Kroonikeskus,10691092,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.34873146,26.36402502,Lääne-Virumaa,60,Rakvere linn,,,126,10306,24-7fitness Rakvere jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
6074,24-7fitness Tabasalu,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Tabasalu Keskus OÜ,14377122,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.42898528,24.5499587,Harjumaa,37,Harku,Tabasalu alevik,8009,178,12350,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
6075,24-7fitness Tartu Sepa Keskus,Tartu Sepa Keskus,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,osaühing SEPA KESKUS,10240627,Osaühing,24-7FITNESSKLUBI OÜ,14045006,58.34925782,26.73920864,Tartumaa,79,Tartu linn,Tartu linn,8151,158,12352,24-7fitness Tartu Sepa Keskus,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
6076,24-7fitness Tartu Sõbrakeskus,Tartu Sõbrakeskus,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ Kroonikeskus,10691092,Osaühing,24-7FITNESSKLUBI OÜ,14045006,58.36525162,26.71938535,Tartumaa,79,Tartu linn,Tartu linn,8151,178,12353,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
4893,24-7fitness Tõnismägi,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Redmont Invest OÜ,11020684,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.42924511,24.74254751,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,196,10309,Jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
5318,24-7fitness Tähesaju,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ INF Communications,14469060,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.44339142,24.85574582,Harjumaa,37,Tallinn,Lasnamäe linnaosa,387,244,11023,Aeroobikasaal,Väga hea,"aeroobika ja rühmatreeningud, harrastusvõimlemine"
4891,24-7fitness Vabaduse pst,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,Manta Maja Arendus OÜ,14426197,Osaühing,24-7FITNESSKLUBI OÜ,14045006,59.36485141,24.63511611,Harjumaa,37,Tallinn,Nõmme linnaosa,524,126,10305,24-7fitness Vabaduse pst jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
3145,A. Le Coq Arena I ja II muruväljak,Lilleküla Jalgpallistaadion,Välispalliväljak,Hoonestusõigus,Spordialases kasutuses,Aktsiaselts,AS Lilleküla Jalgpallistaadion,10864457,Mittetulundusühing,EESTI JALGPALLI LIIT,80091598,59.419445,24.733486,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,284,6813,A. Le Coq Arena I ja II muruväljak,Väga hea,jalgpall
4752,A. Le Coq Arena jõulinnak,,Muu vabas õhus asuv spordiobjekt,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Tallinna Kesklinna Valitsus,75014221,Kohaliku omavalitsuse üksus,Tallinna Kesklinna Valitsus,75014221,59.42225436,24.73015423,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,0,10014,A. Le Coq Arena jõulinnak,Väga hea,"harrastusvõimlemine, Kulturism ja fitness"
