,org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus
0,7065,#26 Racing Team MTÜ,80580106,Harjumaa,37,Kose,338,59.200119943764,25.10618680465
1,5948,#TeamPinkPurple Disc Golf MTÜ,80409045,Hiiumaa,39,Hiiumaa,205,58.999830604063,22.729827811749
2,5403,& Moments OÜ,11675818,Harjumaa,37,Tallinn,784,,
3,7258,24-7Fitnessklubi OÜ,14045006,Harjumaa,37,Tallinn,784,59.411224815176,24.671721206262
4,7439,35FIT OÜ,14520329,Harjumaa,37,Tallinn,784,59.433360426994,24.777280872967
5,6163,3GUN Laskespordiklubi,80410999,Harjumaa,37,Kose,338,59.120227252079,25.141675714892
6,917,89141 Rakvere Piljardiklubi,80228542,Lääne-Virumaa,60,Rakvere linn,663,59.354515328751,26.360019339729
7,5519,9MM MTÜ,80394013,Harjumaa,37,Tallinn,784,59.415841246105,24.738479935999
8,3746,A&T Spordiklubi,80302599,Harjumaa,37,Tallinn,784,59.415286453262,24.6909138002
9,7158,A.R Pro Ski Team,80585084,Valgamaa,81,Otepää,557,58.047226356618,26.478355285165
10,6428,A1M OÜ,14238403,Võrumaa,87,Võru linn,919,,
11,3520,A2 Racing MTÜ,80235378,Pärnumaa,68,Pärnu,624,58.390662393495,24.467422740585
12,4497,A2K spordiklubi,80338581,Pärnumaa,68,Pärnu,624,58.369992263249,24.546715258175
13,6035,Aasna Sidecar Racing Team MTÜ,80402735,Harjumaa,37,Saue,725,59.196787798087,24.320445425979
14,5281,Aave Spordiklubi,80370461,Harjumaa,37,Raasiku,651,59.372391399353,25.058970860405
15,619,Abja Korvpalliklubi,80257658,Viljandimaa,84,Mulgi,480,58.126233213566,25.363848283425
16,81,Adavere Spordiklubi,80112670,Jõgevamaa,50,Põltsamaa,618,58.704945624159,25.89207866737
17,3307,Aegviidu Spordiklubi,80296701,Harjumaa,37,Anija,141,6.5709715223463,20.776128786941
18,7643,Aero Purjetajate Liit,80609821,Harjumaa,37,Tallinn,784,59.466753519807,24.826523274623
19,4176,Aero Sport Association,80328430,Harjumaa,37,Keila,296,59.309987858849,24.408363593211
20,7373,Aerulauaklubi Supster,80599241,Harjumaa,37,Tallinn,784,59.445213416668,24.687561792705
21,7485,AGG Violett MTÜ,80598922,Tartumaa,79,Tartu linn,793,58.360132239634,26.795613570522
22,7342,AGM Racing EST MTÜ,80595065,Lääne-Virumaa,60,Väike-Maarja,928,59.129793304686,26.241544642107
23,6555,Agribasket Spordiklubi MTÜ,80553411,Lääne-Virumaa,60,Rakvere linn,663,59.33536746518,26.373917817139
24,5059,Aidu Spordiklubi,80363946,Ida-Virumaa,45,Lüganuse,442,59.33635158827,27.011136195332
25,4856,Aikidoklubi Agatsu,80360818,Harjumaa,37,Tallinn,784,59.409762320254,24.708117392772
26,2283,Aikidoklubi Musubi,80228020,Harjumaa,37,Tallinn,784,59.44697015009,24.875771365189
27,6137,Aitado Judokool MTÜ,80410634,Harjumaa,37,Tallinn,784,59.40431310571,24.717906016412
28,4158,Akrobaatikaklubi Tirel,80325727,Pärnumaa,68,Pärnu,624,58.370106734961,24.541026321646
29,7921,AL Purjetab MTÜ,80626239,Harjumaa,37,Rae,653,59.363837222177,24.930749055013
30,3801,Alavere Spordiklubi,80308961,Harjumaa,37,Anija,141,59.245697336261,25.326267887934
31,432,Alpiklubi Firn,80112471,Tartumaa,79,Tartu linn,793,58.366958011341,26.77050044942
32,928,Alu Spordiklubi,80043561,Raplamaa,71,Rapla,668,59.023420996755,24.76483784087
33,6703,Alutaguse Ammuklubi SILEX,80565199,Ida-Virumaa,45,Alutaguse,130,59.106967698781,27.302066393127
34,5349,Alutaguse Eagle Disc golfi klubi,80375872,Ida-Virumaa,45,Jõhvi,251,59.364660319863,27.406013074792
35,4960,Alutaguse Jahilaskurklubi MTÜ,80356662,Ida-Virumaa,45,Kohtla-Järve,321,59.398869125136,27.296372375261
36,1329,Alutaguse Koolispordi Ühing,80152356,Ida-Virumaa,45,Jõhvi,251,59.358232329267,27.412853866086
37,1231,Alutaguse Matkaklubi,80082259,Ida-Virumaa,45,Toila,803,59.351932226024,27.171653545472
38,1207,Alutaguse Suusaklubi,80069081,Ida-Virumaa,45,Alutaguse,130,59.289367256802,27.559101252077
39,121,Ambla Spordiklubi,80085996,Järvamaa,52,Järva,255,59.143047671968,25.7556309626
40,7537,AMG Spordiselts MTÜ,80603066,Viljandimaa,84,Mulgi,480,58.12935066471,25.362452145722
41,6109,AMK Kalev MTÜ,80408778,Harjumaa,37,Tallinn,784,59.385442437851,24.712122365452
42,4833,Andsumäe Suusaklubi,80357785,Võrumaa,87,Võru vald,917,57.785210501314,26.986194490569
43,2106,Anna Levandi Iluuisutamisklubi,80070888,Harjumaa,37,Tallinn,784,59.393823793795,24.729698732609
44,2967,Anna Melody Tantsu ja Iluvõimlemise Spordikool,80238862,Harjumaa,37,Tallinn,784,59.437568847454,24.831921948304
45,5013,Annikoru Discgolfi Klubi,80360801,Tartumaa,79,Elva,171,58.269630976835,26.305548032385
46,7045,AP Spordiklubi,80577831,Võrumaa,87,Võru linn,919,57.850240083336,27.00355472161
47,7886,Artboxing MTÜ,80622891,Pärnumaa,68,Pärnu,624,58.36678139281,24.547027196678
48,1781,Artemi Tepi Poksiklubi,80079820,Harjumaa,37,Tallinn,784,59.457147301623,24.68256441449
49,1648,Aruküla Pallimängude Klubi,80188880,Harjumaa,37,Raasiku,651,59.363914768784,25.080340636349
50,1505,Aruküla Spordiklubi,80063888,Harjumaa,37,Raasiku,651,59.364870788951,25.076491563731
51,6714,AS Eesti Golfikeskus,10095562,Harjumaa,37,Lääne-Harju,431,59.313686238157,24.313869932751
52,6713,AS EGCC,10872617,Harjumaa,37,Jõelähtme,245,59.467041516418,25.13841891555
53,8013,AS Koeru Hooldekeskus,16776116,Järvamaa,52,Järva,255,58.965225789323,26.03172711175
54,5111,AS OG Elektra,10054238,Lääne-Virumaa,60,Rakvere linn,663,59.345984559167,26.364283844028
55,35,AS Põlva Piim Spordiklubi Mumuu,80155550,Põlvamaa,64,Kanepi,284,58.079326417658,26.907519031806
56,7738,AS White Beach Development,10816814,Pärnumaa,68,Pärnu,624,58.392245892043,24.391805370752
57,1200,Aseri Spordiklubi,80061300,Lääne-Virumaa,60,Viru-Nigula,903,59.447962802244,26.871641898911
58,6902,Astangu Kutserehabilitatsiooni Keskus,70003566,Harjumaa,37,Tallinn,784,59.404917464283,24.635473196755
59,7283,Astra Laskespordiklubi,80597911,Harjumaa,37,Tallinn,784,59.439484923748,24.7409575653
60,6966,Atari Judo MTÜ,80570208,Harjumaa,37,Tallinn,784,6.5709715223463,20.776128786941
61,3643,Atleetklubi Titaan,80183440,Ida-Virumaa,45,Jõhvi,251,59.360774723524,27.430832522998
62,958,ATO Spordiklubi,80176262,Raplamaa,71,Rapla,668,58.996882767032,24.78942829732
63,1782,Audentese Spordiklubi,80132187,Harjumaa,37,Tallinn,784,6.5709715223463,20.776128786941
64,3439,Audruranna Ratsaspordiklubi,80281504,Pärnumaa,68,Pärnu,624,58.352819343422,24.282812801429
65,6872,Austa Rattaklubi,80575708,Tartumaa,79,Elva,171,58.217229584779,26.40881517102
66,161,Auto-Motoklubi Ligur Racing,80003001,Viljandimaa,84,Mulgi,480,58.106671928133,25.54296615866
67,1294,Avinurme Spordi- ja Terviseselts,80122027,Jõgevamaa,50,Mustvee,486,58.985435004567,26.868852531132
68,6981,Balti Käsipalli Assotsiatsioon,80571417,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
69,6012,Baltia Korvpalliklubi,80400653,Viljandimaa,84,Viljandi vald,899,58.533279401912,25.94377722508
70,8011,Bcirq OÜ,16722089,Läänemaa,56,Haapsalu,184,58.946528546214,23.535409846441
71,3515,Bike Fanatics CC MTÜ,80283756,Harjumaa,37,Tallinn,784,59.366758593792,24.758987097334
72,7264,Black and Brownie MTÜ,80568401,Pärnumaa,68,Pärnu,624,58.386615311805,24.507140197872
73,5342,Black Belt Club MTÜ,80375406,Harjumaa,37,Rae,653,59.408964109394,24.947789121097
74,7470,BMX Racing Estonia MTÜ,80606248,Tartumaa,79,Tartu linn,793,58.406707675837,26.699777513872
75,7741,BMX Tallinn MTÜ,80616927,Harjumaa,37,Rae,653,59.362629856826,24.826750495686
76,7081,Bombini Racing MTÜ,80578486,Harjumaa,37,Lääne-Harju,431,59.375825891351,24.238630226862
77,6323,BR BMX MTÜ,80418104,Harjumaa,37,Tallinn,784,59.44637200356,24.72835305067
78,6643,Break And Run MTÜ,80555232,Harjumaa,37,Tallinn,784,59.42783041669,24.814373368804
79,86,Bruno Junk Käimisklubi,80155082,Tartumaa,79,Tartu vald,796,58.549044753783,26.6016779874
80,5968,BTR Racing MTÜ,80396288,Järvamaa,52,Järva,255,59.032952241672,25.878796908375
81,5852,CC Tallinn MTÜ,80395194,Harjumaa,37,Tallinn,784,59.420036659156,24.806452357183
82,6983,CHI Pärnu MTÜ,80571646,Pärnumaa,68,Pärnu,624,58.298329430372,24.157514178241
83,6218,CKR Estonia OÜ,14296047,Harjumaa,37,Tallinn,784,59.414277068641,24.709977330975
84,7953,Coop Pank AS,10237832,Harjumaa,37,Tallinn,784,59.432814798225,24.759175203932
85,7959,Crossecco OÜ,16388288,Harjumaa,37,Rae,653,59.403537801677,24.802971296213
86,7129,Crossfitest OÜ,12968971,Harjumaa,37,Tallinn,784,59.427164503172,24.637358481208
87,7762,Curling Team Veltsman,80613567,Harjumaa,37,Tallinn,784,59.448424108669,24.893356285451
88,7639,D7 Tantsukool MTÜ,80609531,Harjumaa,37,Tallinn,784,59.424621220448,24.736109205266
89,6007,Dance Forever MTÜ,80400251,Tartumaa,79,Tartu linn,793,58.379908008302,26.754122290497
90,4982,Dance Team Royal MTÜ,80358342,Harjumaa,37,Rae,653,59.346399765621,24.959079600917
91,8002,Danceguru OÜ,16275503,Harjumaa,37,Tallinn,784,59.440655071776,24.831331569077
92,7160,DG Elite MTÜ,80594290,Tartumaa,79,Elva,171,58.236878580116,26.415357803974
93,7540,DG EST MTÜ,80603304,Harjumaa,37,Saue,725,59.351628546896,24.620857802207
